source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[treatment]	characteristics[enrichment process]	characteristics[depletion]	characteristics[culture medium]	characteristics[passage number]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[enrichment process]
HEp-2_mock_2	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	mock	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	2	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127N;AC=PRIDE:0000519	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	mock	enrichment of phosphorylated protein
HEp-2_mock_3	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	mock	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	3	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127C;AC=PRIDE:0000518	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	mock	enrichment of phosphorylated protein
HEp-2_FA_TcnA_1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	FA_TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	1	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128N;AC=PRIDE:0000522	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	FA_TcnA	enrichment of phosphorylated protein
HEp-2_FA_TcnA_2	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	FA_TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	2	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128C;AC=PRIDE:0000521	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	FA_TcnA	enrichment of phosphorylated protein
HEp-2_FA_TcnA_3	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	FA_TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	3	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129N;AC=PRIDE:0000525	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	FA_TcnA	enrichment of phosphorylated protein
HEp-2_TcnA_1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	1	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129C;AC=PRIDE:0000524	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TcnA	enrichment of phosphorylated protein
HEp-2_TcnA_2	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	2	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT130N;AC=PRIDE:0000528	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TcnA	enrichment of phosphorylated protein
HEp-2_TcnA_3	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	3	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT130C;AC=PRIDE:0000527	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TcnA	enrichment of phosphorylated protein
HEp-2_TcnA_pool	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	SN=HEp-2_TcnA_1;SN=HEp-2_TcnA_2;SN=HEp-2_TcnA_3	pooled	20210817_TMT_TcnA_HEp2_PP_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT131N;AC=PRIDE:0000580	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20210817_TMT_TcnA_HEp2_PP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TcnA	enrichment of phosphorylated protein
HEp-2_mock_1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	mock	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	1	20210817_TMT_TcnA_HEp2_PP_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT126;AC=PRIDE:0000516	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	17	1	20210817_TMT_TcnA_HEp2_PP_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	mock	enrichment of phosphorylated protein
HEp-2_mock_2	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	mock	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	2	20210817_TMT_TcnA_HEp2_PP_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127N;AC=PRIDE:0000519	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	17	1	20210817_TMT_TcnA_HEp2_PP_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	mock	enrichment of phosphorylated protein
HEp-2_mock_3	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	mock	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	3	20210817_TMT_TcnA_HEp2_PP_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127C;AC=PRIDE:0000518	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	17	1	20210817_TMT_TcnA_HEp2_PP_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	mock	enrichment of phosphorylated protein
HEp-2_FA_TcnA_1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	FA_TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	1	20210817_TMT_TcnA_HEp2_PP_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128N;AC=PRIDE:0000522	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	17	1	20210817_TMT_TcnA_HEp2_PP_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	FA_TcnA	enrichment of phosphorylated protein
HEp-2_FA_TcnA_2	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	FA_TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	2	20210817_TMT_TcnA_HEp2_PP_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128C;AC=PRIDE:0000521	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	17	1	20210817_TMT_TcnA_HEp2_PP_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	FA_TcnA	enrichment of phosphorylated protein
HEp-2_FA_TcnA_3	Homo sapiens	uterine cervix	endocervical adenocarcinoma	epithelial cell of cervix	HEp-2 cell	CVCL_1906	HEp-2	uterine cervix	cell line	30Y6M	female	African American	adult	FA_TcnA	enrichment of phosphorylated protein	no depletion	MEM	not available	not available	-80 °C	not pooled	3	20210817_TMT_TcnA_HEp2_PP_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129N;AC=PRIDE:0000525	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HexNAc;AC=UNIMOD:43;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	17	1	20210817_TMT_TcnA_HEp2_PP_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	FA_TcnA	enrichment of phosphorylated protein
