source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[carrier channel]	comment[reference channel]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[cell line]
230120_24_TMT131	Homo sapiens	not available	not available	not available	U118	not available	not available	single cell	manual picking	230120_24_TMT131	1	not pooled	72	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	U118
230120_25_TMT126	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_25_TMT126	1	not pooled	73	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_25_TMT127N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	reference	not applicable	not applicable	3000	pooled	pooled	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT127N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_25_TMT127C	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP C4	CVCL_4783	LNCaP C4	single cell	manual picking	230120_25_TMT127C	1	not pooled	73	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT127C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP C4
230120_25_TMT128N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_25_TMT128N	1	not pooled	74	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT128N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_25_TMT128C	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP C4	CVCL_4783	LNCaP C4	single cell	manual picking	230120_25_TMT128C	1	not pooled	74	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT128C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP C4
230120_25_TMT129N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_25_TMT129N	1	not pooled	75	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT129N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_25_TMT129C	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP C4	CVCL_4783	LNCaP C4	single cell	manual picking	230120_25_TMT129C	1	not pooled	75	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT129C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP C4
230120_25_TMT130N	Homo sapiens	not available	not available	not available	U118	not available	not available	single cell	manual picking	230120_25_TMT130N	1	not pooled	73	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT130N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	U118
230120_25_TMT130C	Homo sapiens	not available	not available	not available	U118	not available	not available	single cell	manual picking	230120_25_TMT130C	1	not pooled	74	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT130C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	U118
230120_25_TMT131	Homo sapiens	not available	not available	not available	U118	not available	not available	single cell	manual picking	230120_25_TMT131	1	not pooled	75	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	U118
230120_26_TMT126	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_26_TMT126	1	not pooled	76	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_26_TMT127N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	reference	not applicable	not applicable	3000	pooled	pooled	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT127N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_26_TMT127C	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP C4	CVCL_4783	LNCaP C4	single cell	manual picking	230120_26_TMT127C	1	not pooled	76	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT127C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP C4
230120_26_TMT128N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_26_TMT128N	1	not pooled	77	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT128N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_26_TMT128C	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP C4	CVCL_4783	LNCaP C4	single cell	manual picking	230120_26_TMT128C	1	not pooled	77	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT128C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP C4
230120_26_TMT129N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_26_TMT129N	1	not pooled	78	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT129N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_26_TMT129C	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP C4	CVCL_4783	LNCaP C4	single cell	manual picking	230120_26_TMT129C	1	not pooled	78	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT129C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP C4
230120_26_TMT130N	Homo sapiens	not available	not available	not available	U118	not available	not available	single cell	manual picking	230120_26_TMT130N	1	not pooled	76	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT130N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	U118
230120_26_TMT130C	Homo sapiens	not available	not available	not available	U118	not available	not available	single cell	manual picking	230120_26_TMT130C	1	not pooled	77	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT130C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	U118
230120_26_TMT131	Homo sapiens	not available	not available	not available	U118	not available	not available	single cell	manual picking	230120_26_TMT131	1	not pooled	78	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	U118
230120_27_TMT126	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_27_TMT126	1	not pooled	79	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_27_TMT127N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	reference	not applicable	not applicable	3000	pooled	pooled	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT127N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_27_TMT127C	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP C4	CVCL_4783	LNCaP C4	single cell	manual picking	230120_27_TMT127C	1	not pooled	79	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT127C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP C4
230120_27_TMT128N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_27_TMT128N	1	not pooled	80	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT128N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
230120_27_TMT128C	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP C4	CVCL_4783	LNCaP C4	single cell	manual picking	230120_27_TMT128C	1	not pooled	80	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT128C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP C4
230120_27_TMT129N	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP	CVCL_0395	LNCaP	single cell	manual picking	230120_27_TMT129N	1	not pooled	81	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT129N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	not available	not available	not applicable	TMT127N	1	1	230120_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=human;VV=v1.1.0	LNCaP
